Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
G1_TS1,Chrome 68.0.3440.106,,2018-09-18 14:04:01,2018-09-18 14:04:24,23.163s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-09-18 14:04:02,2018-09-18 14:04:12,10.357s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 14:04:02,2018-09-18 14:04:08,6.160s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Navigate to login page,2018-09-18 14:04:08,2018-09-18 14:04:10,1.637s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter username,2018-09-18 14:04:10,2018-09-18 14:04:10,0.177s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter password,2018-09-18 14:04:10,2018-09-18 14:04:10,0.076s,PASSED
click,Chrome 68.0.3440.106,Click on login button,2018-09-18 14:04:10,2018-09-18 14:04:12,1.958s,PASSED
"Statement - actual = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Home/txt_UserPanel), STOP_ON_FAILURE)",Chrome 68.0.3440.106,Get user welcome text,2018-09-18 14:04:12,2018-09-18 14:04:12,0.076s,PASSED
"Statement - expected = ""Welcome, patest01 [Logout]""",Chrome 68.0.3440.106,,2018-09-18 14:04:12,2018-09-18 14:04:12,0.001s,PASSED
verifyMatch,Chrome 68.0.3440.106,Verify the welcome text,2018-09-18 14:04:12,2018-09-18 14:04:12,0.020s,PASSED
,,,,,,
Test Cases/Logout,Chrome 68.0.3440.106,,2018-09-18 14:04:12,2018-09-18 14:04:23,11.004s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-18 14:04:12,2018-09-18 14:04:23,10.607s,PASSED
click,Chrome 68.0.3440.106,CLick on logout link to log out the system,2018-09-18 14:04:23,2018-09-18 14:04:23,0.233s,PASSED
