Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
G1_TS2,Chrome 68.0.3440.106,,2018-09-18 17:24:30,2018-09-18 17:24:41,11.578s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-09-18 17:24:30,2018-09-18 17:24:40,10.063s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 17:24:30,2018-09-18 17:24:36,5.830s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Navigate to login page,2018-09-18 17:24:36,2018-09-18 17:24:38,1.592s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter username,2018-09-18 17:24:38,2018-09-18 17:24:38,0.187s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter password,2018-09-18 17:24:38,2018-09-18 17:24:38,0.081s,PASSED
click,Chrome 68.0.3440.106,Click on login button,2018-09-18 17:24:38,2018-09-18 17:24:40,1.974s,PASSED
"Statement - actual = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Home/txt_UserPanel), STOP_ON_FAILURE)",Chrome 68.0.3440.106,Get user welcome text,2018-09-18 17:24:40,2018-09-18 17:24:40,0.062s,PASSED
"Statement - expected = ""Welcome, patest01 [Logout]""",Chrome 68.0.3440.106,,2018-09-18 17:24:40,2018-09-18 17:24:40,0.001s,PASSED
verifyMatch,Chrome 68.0.3440.106,Verify the welcome text,2018-09-18 17:24:40,2018-09-18 17:24:40,0.024s,PASSED
