Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
G1_TS2,Chrome 68.0.3440.106,,2018-09-18 17:14:33,2018-09-18 17:14:46,12.915s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-09-18 17:14:33,2018-09-18 17:14:44,10.954s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 17:14:33,2018-09-18 17:14:40,6.969s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Navigate to login page,2018-09-18 17:14:40,2018-09-18 17:14:42,1.217s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter username,2018-09-18 17:14:42,2018-09-18 17:14:42,0.201s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter password,2018-09-18 17:14:42,2018-09-18 17:14:42,0.084s,PASSED
click,Chrome 68.0.3440.106,Click on login button,2018-09-18 17:14:42,2018-09-18 17:14:44,2.100s,PASSED
"Statement - actual = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Home/txt_UserPanel), STOP_ON_FAILURE)",Chrome 68.0.3440.106,Get user welcome text,2018-09-18 17:14:44,2018-09-18 17:14:44,0.077s,PASSED
"Statement - expected = ""Welcome, patest01 [Logout]""",Chrome 68.0.3440.106,,2018-09-18 17:14:44,2018-09-18 17:14:44,0.000s,PASSED
verifyMatch,Chrome 68.0.3440.106,Verify the welcome text,2018-09-18 17:14:44,2018-09-18 17:14:44,0.027s,PASSED
