Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
G1_TS1,Chrome 68.0.3440.106,,2018-09-18 14:02:54,2018-09-18 14:03:52,58.221s,FAILED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-09-18 14:02:54,2018-09-18 14:03:07,12.434s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 14:02:55,2018-09-18 14:03:01,6.356s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Navigate to login page,2018-09-18 14:03:01,2018-09-18 14:03:04,3.334s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter username,2018-09-18 14:03:04,2018-09-18 14:03:05,0.188s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter password,2018-09-18 14:03:05,2018-09-18 14:03:05,0.082s,PASSED
click,Chrome 68.0.3440.106,Click on login button,2018-09-18 14:03:05,2018-09-18 14:03:07,2.115s,PASSED
"Statement - actual = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Home/txt_UserPanel), STOP_ON_FAILURE)",Chrome 68.0.3440.106,Get user welcome text,2018-09-18 14:03:07,2018-09-18 14:03:07,0.079s,PASSED
"Statement - expected = ""Welcome, patest01 [Logout]""",Chrome 68.0.3440.106,,2018-09-18 14:03:07,2018-09-18 14:03:07,0.000s,PASSED
verifyMatch,Chrome 68.0.3440.106,Verify the welcome text,2018-09-18 14:03:07,2018-09-18 14:03:07,0.022s,PASSED
,,,,,,
Test Cases/Logout,Chrome 68.0.3440.106,,2018-09-18 14:03:07,2018-09-18 14:03:51,43.989s,FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-18 14:03:07,2018-09-18 14:03:20,12.441s,PASSED
click,Chrome 68.0.3440.106,CLick on logout link to log out the system,2018-09-18 14:03:20,2018-09-18 14:03:51,31.364s,FAILED
