Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
G1_TS3,Chrome 68.0.3440.106,,2018-09-18 17:13:53,2018-09-18 17:14:17,24.005s,PASSED
,,,,,,
Test Cases/Logout,Chrome 68.0.3440.106,,2018-09-18 17:13:53,2018-09-18 17:14:05,11.424s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-18 17:13:53,2018-09-18 17:14:04,10.923s,PASSED
click,Chrome 68.0.3440.106,CLick on logout link to log out the system,2018-09-18 17:14:04,2018-09-18 17:14:05,0.210s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-09-18 17:14:05,2018-09-18 17:14:15,10.628s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 17:14:05,2018-09-18 17:14:11,6.901s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Navigate to login page,2018-09-18 17:14:11,2018-09-18 17:14:13,1.531s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter username,2018-09-18 17:14:13,2018-09-18 17:14:13,0.132s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter password,2018-09-18 17:14:13,2018-09-18 17:14:13,0.086s,PASSED
click,Chrome 68.0.3440.106,Click on login button,2018-09-18 17:14:13,2018-09-18 17:14:15,1.895s,PASSED
"Statement - actual = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Home/txt_UserPanel), STOP_ON_FAILURE)",Chrome 68.0.3440.106,Get user welcome text,2018-09-18 17:14:15,2018-09-18 17:14:15,0.064s,PASSED
"Statement - expected = ""Welcome, patest01 [Logout]""",Chrome 68.0.3440.106,,2018-09-18 17:14:15,2018-09-18 17:14:15,0.000s,PASSED
verifyMatch,Chrome 68.0.3440.106,Verify the welcome text,2018-09-18 17:14:15,2018-09-18 17:14:15,0.002s,PASSED
