Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
G1_TS1,Chrome 68.0.3440.106,,2018-09-18 16:56:16,2018-09-18 16:56:41,25.332s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-09-18 16:56:16,2018-09-18 16:56:28,11.725s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:56:16,2018-09-18 16:56:24,7.294s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Navigate to login page,2018-09-18 16:56:24,2018-09-18 16:56:25,1.299s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter username,2018-09-18 16:56:25,2018-09-18 16:56:25,0.194s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter password,2018-09-18 16:56:25,2018-09-18 16:56:25,0.089s,PASSED
click,Chrome 68.0.3440.106,Click on login button,2018-09-18 16:56:25,2018-09-18 16:56:28,2.479s,PASSED
"Statement - actual = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Home/txt_UserPanel), STOP_ON_FAILURE)",Chrome 68.0.3440.106,Get user welcome text,2018-09-18 16:56:28,2018-09-18 16:56:28,0.063s,PASSED
"Statement - expected = ""Welcome, patest01 [Logout]""",Chrome 68.0.3440.106,,2018-09-18 16:56:28,2018-09-18 16:56:28,0.001s,PASSED
verifyMatch,Chrome 68.0.3440.106,Verify the welcome text,2018-09-18 16:56:28,2018-09-18 16:56:28,0.027s,PASSED
,,,,,,
Test Cases/Logout,Chrome 68.0.3440.106,,2018-09-18 16:56:28,2018-09-18 16:56:40,12.094s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-18 16:56:28,2018-09-18 16:56:40,11.689s,PASSED
click,Chrome 68.0.3440.106,CLick on logout link to log out the system,2018-09-18 16:56:40,2018-09-18 16:56:40,0.218s,PASSED
